perturbation_id,target_gene,PRG4_UP_enrichment,PRG4_DOWN_enrichment,prg4_mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
8641_TAB3_P1P2_ENSG00000157625,TAB3,0.04730220021166735,-0.08491740333746148,0.13221960354912882,False,False,False
2455_EBF4_P1P2_ENSG00000088881,EBF4,0.06256011222678566,-0.06947152239487138,0.13203163462165704,False,False,False
6119_PCF11_P1P2_ENSG00000165494,PCF11,0.06822239507394598,-0.06376673108326866,0.13198912615721464,False,False,False
4029_IDI1_P1P2_ENSG00000067064,IDI1,0.1122426662100614,-0.0196129140628652,0.1318555802729266,False,False,False
7599_RUNDC1_P1P2_ENSG00000198863,RUNDC1,0.0664874836850877,-0.06531494805866754,0.13180243174375522,False,False,False
5770_NPM1_P1P2_ENSG00000181163,NPM1,0.10484578644048977,-0.026487187593346537,0.1313329740338363,False,False,False
6514_POLB_P1P2_ENSG00000070501,POLB,0.07477933496321294,-0.05646428127156635,0.1312436162347793,False,False,False
6886_PSMG3_P1_ENSG00000157778,PSMG3,0.02069267838777459,-0.11043636107208868,0.13112903945986326,False,False,False
4064_IGF1_P1P2_ENSG00000017427,IGF1,0.08812403311394577,-0.04289289967411371,0.13101693278805948,False,False,False
4553_LEO1_P1P2_ENSG00000166477,LEO1,0.058957584608376815,-0.07162159485364447,0.1305791794620213,False,False,False
3316_GCDH_P1P2_ENSG00000105607,GCDH,0.08442339196403012,-0.046025622436310254,0.13044901440034037,False,False,False
951_C11orf54_P1P2_ENSG00000182919,C11orf54,0.058166072560931426,-0.07221108995584333,0.13037716251677475,False,False,False
6912_PTGR2_P1P2_ENSG00000140043,PTGR2,0.09096743872896436,-0.03889859495743989,0.12986603368640426,False,False,False
1198_CASC3_P1P2_ENSG00000108349,CASC3,0.021135447145344387,-0.1086082923895706,0.12974373953491497,False,False,False
8692_TARDBP_P1P2_ENSG00000120948,TARDBP,0.05086573399063105,-0.07874466067188174,0.12961039466251278,False,False,False
3454_GNS_P1P2_ENSG00000135677,GNS,0.049515100600174916,-0.07977849563068444,0.12929359623085934,False,False,False
5176_MPRIP_P1P2_ENSG00000133030,MPRIP,0.07122554964411044,-0.05740620570368206,0.1286317553477925,False,False,False
9271_TRIM28_P1P2_ENSG00000130726,TRIM28,0.08826082601845066,-0.040273925062812105,0.12853475108126278,False,False,False
2087_DDB1_P1_ENSG00000167986,DDB1,0.06153054907885705,-0.06693225639550679,0.12846280547436384,False,False,False
10856_non-targeting_non-targeting_non-targeting,non-targeting,0.09126177932348524,-0.03705879975944789,0.12832057908293312,False,False,False
4075_IGSF8_P1P2_ENSG00000162729,IGSF8,0.07557336274223551,-0.05243733247127588,0.12801069521351138,False,False,False
7514_RPS25_P1P2_ENSG00000118181,RPS25,0.04480313535626457,-0.08299647332970446,0.127799608685969,False,False,False
7194_RC3H1_P1P2_ENSG00000135870,RC3H1,0.030382961956320922,-0.09741517490335537,0.12779813685967628,False,False,False
4901_MCM4_P1P2_ENSG00000104738,MCM4,0.1001951421537712,-0.027252580427653435,0.12744772258142464,False,False,False
"6634_PPIP5K1_ENST00000381885.1,ENST00000396923.3_ENSG00000168781",PPIP5K1,0.0514654215053226,-0.07597751995290374,0.12744294145822632,False,False,False
2184_DHCR24_P1P2_ENSG00000116133,DHCR24,0.07506109689984827,-0.05237584749825096,0.12743694439809922,False,False,False
1008_NDUFAF8_P1P2_ENSG00000224877,NDUFAF8,0.07134064436376282,-0.05607508773097462,0.12741573209473744,False,False,False
10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3,0.06783402901173101,-0.059528705004448866,0.12736273401617987,False,False,False
8115_SLC9A3R2_P1_ENSG00000065054,SLC9A3R2,0.04706352017828989,-0.08029509617723518,0.12735861635552506,False,False,False
4086_IKZF4_P2_ENSG00000123411,IKZF4,0.09957564325291009,-0.02741104685297574,0.1269866901058858,False,False,False
