perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
5632_NFE2L3_P1P2_ENSG00000050344,NFE2L3,0.0886311848791122,-0.15391321820660703,0.24254440308571923,False,False,False
8445_SS18_P1P2_ENSG00000141380,SS18,0.04547443860683678,-0.19540268060719687,0.24087711921403365,False,False,False
5950_OR1E2_ENST00000248384.1_ENSG00000127780,OR1E2,0.12088162715151918,-0.11882718868372596,0.23970881583524514,False,False,False
2998_FBXL4_P1P2_ENSG00000112234,FBXL4,0.09651298257004955,-0.1430028048231666,0.23951578739321616,False,False,False
10734_ZSWIM8_P1P2_ENSG00000214655,ZSWIM8,0.11349090079742587,-0.12595133988843815,0.239442240685864,False,False,False
4850_MARCKSL1_P1P2_ENSG00000175130,MARCKSL1,0.036300239782531364,-0.20253347437713506,0.23883371415966642,False,True,False
10438_ZNF549_P1P2_ENSG00000121406,ZNF549,0.0855738035016057,-0.15310282524905477,0.23867662875066048,False,False,False
5655_NFXL1_P1P2_ENSG00000170448,NFXL1,0.17675280619530673,-0.06186054930693129,0.238613355502238,False,False,False
1949_CTSH_P1P2_ENSG00000103811,CTSH,0.16706493442451165,-0.07100404034029868,0.23806897476481031,False,False,False
3075_FGFR4_P1P2_ENSG00000160867,FGFR4,0.08007544828238038,-0.15775262090714182,0.2378280691895222,False,False,False
495_ARID5A_P1P2_ENSG00000196843,ARID5A,0.09315356150000717,-0.14363052723700828,0.23678408873701545,False,False,False
4265_JUND_P1P2_ENSG00000130522,JUND,0.10779324047496254,-0.12841573158722427,0.23620897206218683,True,False,False
5046_MGST3_P1P2_ENSG00000143198,MGST3,0.06350435902862386,-0.17185146559898506,0.23535582462760893,False,False,False
9122_TNFAIP8L1_P1P2_ENSG00000185361,TNFAIP8L1,0.11759617498577127,-0.11773448670407548,0.23533066168984673,False,False,False
2737_ESR2_P1P2_ENSG00000140009,ESR2,0.06094010367974754,-0.1730604124700878,0.23400051614983533,False,False,False
5132_MOB1A_P1P2_ENSG00000114978,MOB1A,0.10500502372141665,-0.1287545024137422,0.23375952613515885,False,False,False
7429_RPGR_P1P2_ENSG00000156313,RPGR,0.09153651906445769,-0.1420495967132587,0.23358611577771637,False,False,False
