pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
KHETCHOUMIAN_TRIM24_TARGETS_UP,47,1,0.06706780328742601,14.8739092394094,ITGAL,0.21262704668596047
MELLMAN_TUT1_TARGETS_DN,47,1,0.06706780328742601,14.8739092394094,APLP1,0.21262704668596047
WP_HEART_DEVELOPMENT,47,1,0.06706780328742601,14.8739092394094,TBX20,0.21262704668596047
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,47,1,0.06706780328742601,14.8739092394094,CLDN2,0.21262704668596047
EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION,48,1,0.06844536877139407,14.557192851766494,CASQ2,0.2146357488102955
PARK_APL_PATHOGENESIS_DN,48,1,0.06844536877139407,14.557192851766494,NEU1,0.2146357488102955
CROMER_TUMORIGENESIS_DN,49,1,0.06982092376333571,14.253672977040937,MYH11,0.21681923947417503
WANG_MLL_TARGETS,293,2,0.06989320371264568,4.738340503258857,"GDA, F5",0.21681923947417503
PURBEY_TARGETS_OF_CTBP1_NOT_SATB1_UP,296,2,0.07113554828401583,4.689747137603371,"JPH2, ACOT1",0.21807598958687752
OHGUCHI_LIVER_HNF4A_TARGETS_UP,50,1,0.07119447116299837,13.962541665656262,ACOT1,0.21807598958687752
BURTON_ADIPOGENESIS_11,51,1,0.07256601386599737,13.683055603986917,PAXBP1,0.21807598958687752
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,51,1,0.07256601386599737,13.683055603986917,CD6,0.21807598958687752
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,51,1,0.07256601386599737,13.683055603986917,SLC22A2,0.21807598958687752
WP_OXYSTEROLS_DERIVED_FROM_CHOLESTEROL,51,1,0.07256601386599737,13.683055603986917,ACOT1,0.21807598958687752
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN,52,1,0.07393555476382241,13.41452977750178,APLP1,0.21848765093547648
