ensembl_gene_id,H2O2_vs_CTRL.log2FoldChange,H2O2_vs_CTRL.pvalue,PRG4_vs_CTRL.log2FoldChange,PRG4_vs_CTRL.pvalue,H2O2PRG4_vs_H2O2.log2FoldChange,H2O2PRG4_vs_H2O2.pvalue,hgnc_symbol
ENSG00000266997,-0.0623847526980511,0.901112963310058,0.179497530194824,0.718743155732113,-0.2866755142689,0.568540961976756,
ENSG00000267001,1.71241774942959,0.0001945765135515,-0.134400653440954,0.780826609241826,-0.176407260199625,0.683686362764422,
ENSG00000267022,0.170956002359658,0.714751512524703,-0.237835395708089,0.613577035440594,0.460537896229899,0.314374736488955,
ENSG00000267059,0.142142195570436,0.60071440204786,0.0554308348589819,0.837894996709912,-0.134188531044812,0.618580194122888,
ENSG00000267110,0.96488862608086,0.826707032399592,0.0,1.0,-0.28209679637912,0.9489667685413,
ENSG00000267120,,,,,,,
ENSG00000267127,1.01334422754693,0.0116789336791001,0.319553960592324,0.430414671002247,0.273086592002882,0.484895559285338,
ENSG00000267140,1.60744563882825,0.32044975603025,-1.12890390641417,0.517182730673493,-1.24134403030899,0.434540842211724,
ENSG00000267157,,,,,,,
ENSG00000267168,0.0,1.0,0.0,1.0,1.67692229839929,0.700521714211101,
ENSG00000267173,1.36741541370951,0.383295839008349,-1.42270757361513,0.402031911989297,0.178352343882255,0.906527975066172,
ENSG00000267179,0.249596088419099,0.61748196156109,0.890781209501199,0.0688275488228997,-0.313410658143726,0.527419966398079,
ENSG00000267228,2.87416479445628,0.208895512049926,2.72760265904564,0.232528552983581,1.14397425076625,0.569067875717584,
ENSG00000267261,1.6148422371965,0.0302622021481551,-0.673740959742933,0.396694153896701,0.0275236957669488,0.969063020769037,
ENSG00000267303,0.0,1.0,0.0,1.0,0.679690555653172,0.877441360962101,
ENSG00000267314,-0.236662130802485,0.587318449272902,0.619870437979467,0.146844384267934,0.280967289760493,0.516581364455514,
ENSG00000267318,2.39879631910663,0.160492085406081,-1.10375353866194,0.586381449294144,1.74725844023011,0.210903511349127,
ENSG00000267335,0.964899730328087,0.721800828479921,0.0,1.0,4.54439157049092,0.0641130207614003,
ENSG00000267360,2.34919462716165,0.0100547348397254,1.1117846307545,0.240365469308912,0.323111864884677,0.669280271045375,
ENSG00000267385,1.95524078115684,0.653858380698329,0.0,1.0,-0.422589169813482,0.922156662443428,
ENSG00000267426,1.18229220098839,0.283140109894985,-1.45437289474676,0.242844509276201,0.278220817321015,0.790262791528092,
ENSG00000267477,2.48019020238745,0.0197839481170233,-3.34787593191602,0.032266939125243,1.36129400445505,0.11305890139119,
ENSG00000267552,0.566228168687346,0.604341007850891,0.669788311037227,0.537776942864507,0.586528877305414,0.580918963901587,
ENSG00000267561,1.72249332746509,0.0002566097867429,0.38347303596561,0.435763100767099,0.502928424351097,0.233106794745211,
ENSG00000267618,-1.8455660315709,0.667166676755089,0.718084784999951,0.864071384478227,2.52685606587984,0.550454341567056,
ENSG00000267645,-0.393944338545057,0.412905232956202,0.970002927396925,0.0323865829354274,0.584387914278426,0.216067831571403,
ENSG00000267699,0.621733733808011,0.109309245824437,0.487332751780577,0.209131667278461,1.05935421672554,0.0051817054392691,
ENSG00000267706,,,,,,,
ENSG00000267740,4.1979325259177,0.0816330401869677,0.0,1.0,0.418144491929675,0.844613134313351,
