target_gene,prg4_mimetic_score
WBP1,0.07279109738983991
USP9X,0.0720280180284294
CNIH4,0.06988156345445834
KDM2A,0.06969168413927462
CBFA2T3,0.06933554803453798
PSME1,0.06927561044063998
MTHFD1,0.06775552062868373
NOP56,0.06729236433276653
ANKS6,0.06716143831206345
DPPA2,0.06652723646629581
KIF14,0.0660261197602815
GET1,0.06563951197767913
MEMO1,0.06539604794373549
OR2T5,0.0650760878968483
NARS2,0.06505769988938596
IRF2BP2,0.0650339515609781
MRPS17,0.0649380112595136
CHCHD1,0.0644544451965462
YRDC,0.06445305245084289
LARS2,0.06404415578412101
PSAT1,0.06231145927919299
HIST1H2BN,0.06204316785260265
KRT10,0.06184163180399878
ZNF658,0.06006955341665161
MRPS26,0.05961626983209779
CPAMD8,0.05949984249888574
KLC2,0.05920973799342922
HNRNPH1,0.05920175133314623
ENO1,0.058766113816843005
PSMD14,0.058646865991976355
PDCD6IP,0.056925816644929
C7orf50,0.05614449158838376
PDCD6,0.05567657591916931
VARS2,0.05503148833600239
TUBA1C,0.054557587624440615
ZNF24,0.053694151326542275
CA5A,0.05328956101104497
SDHD,0.052888968648363205
C6orf15,0.05045843258324957
CYC1,0.04942304865364609
ACTR1A,0.04919265457066899
SRP14,0.04797735285862873
OLFML3,0.04784765382773954
KAT5,0.047679443297947835
MICOS10,0.04704850704132342
CUL1,0.04704663485826543
TMED2,0.04654896897855423
MRPS16,0.04647569364877574
UFL1,0.04627321655577751
TOR2A,0.04586211949612854
SRP9,0.04558600254247098
ZNF284,0.04533816512852687
HHEX,0.04495614336893902
XRN1,0.044895565864852896
RPN2,0.04453318485744011
FAF2,0.042866091694044844
CSH2,0.04253069356622811
GLRX3,0.0420399663205165
NBPF3,0.04062648197982531
UCHL5,0.040356389031054485
CYS1,0.03997232404946262
PRKRIP1,0.039194894586518265
MRPL45,0.039176281718974394
PSMD6,0.038833174951709654
ZMYM4,0.037435337702861164
DHX9,0.037245067441515026
MST1,0.036726121741427364
CMTR1,0.03663829489359591
CNOT10,0.036591780224860114
RGP1,0.03650972907827194
ALG1L,0.0362695936999554
EIF1,0.036177130309884425
DPY19L2,0.035412371927159875
HOXC10,0.03448975615393512
MRPL15,0.03441849267801424
MRPL27,0.03419976028132286
SLC25A26,0.033630015684073235
LTBP4,0.033472602400488646
CHCHD2,0.03327415693978983
RBMXL1,0.03324151029370488
KCNA10,0.03317036403559469
SDE2,0.03286315497515316
CCAR1,0.032838792821647284
LAMTOR1,0.032710682009542406
CBX1,0.032452508296049204
C1orf109,0.03220689174687556
RGPD6,0.03214684684089755
AIFM1,0.03170646976275789
MRPS30,0.03166242129071678
NDUFA6,0.031118155883178407
SMG5,0.030875794687226468
MRPL1,0.030842459923065328
ADAT2,0.029836170444602197
INTS10,0.029519442637565743
CUL3,0.029111360221888337
GPR61,0.028810888378927275
COX7C,0.028655271334466985
GLI4,0.028050346205279804
ASF1B,0.027312358719519397
DNM1L,0.027101744399134934
DPH1,0.02676989978702685
MRPL17,0.026426695943603407
ZNF492,0.025802706905945213
PSMA3,0.025618617490218154
LURAP1,0.02431539977877214
PSMA6,0.023823750639745123
DAP3,0.023748955440722266
HMGN2,0.023474384771590327
TMEM214,0.02321528784401785
TFB2M,0.02304567334202854
AHCY,0.022373461887702124
PSMA4,0.022299740139670843
TKT,0.021981037790361733
MRPL16,0.021902442753132655
SMG9,0.021333233395519242
STAG2,0.02096122765019557
FBXW7,0.02076577504086121
CEP85,0.020346415281240267
VPS37C,0.020051610836869183
CLPB,0.01943892522824462
LCE1C,0.01943671129748566
ZNF100,0.019122240015848987
PRKRA,0.019010896303511562
SETDB1,0.018647988641429185
