"gene","P.Value_mac","logFC_mac","adj.P.Val_mac","P.Value_extra","logFC_extra","adj.P.Val_extra","meta_p","meta_logFC","meta_fdr"
24,0.65758712400604,-0.0742466534394432,0.98324418678769,0.0608290598588128,0.297041855946843,0.991236084654385,0.168756341557577,0.1113976012537,0.974688714097658
26,0.81486041565842,-0.0695461183216181,0.994540941262659,0.73633416042822,-0.0913585975979674,0.995486586533491,0.906500257691738,-0.0804523579597927,0.995242985107319
27,0.34009050827614,0.192411185056887,0.951990261814846,0.491456632753921,-0.140601917118898,0.99327312253652,0.466140200631293,0.0259046339689945,0.974688714097658
28,0.246841549291993,-0.175088149195638,0.93806672432868,0.251712768416076,0.185626301084043,0.991236084654385,0.234768647049175,0.00526907594420249,0.974688714097658
29,0.725242619761554,-0.0483108187155781,0.987936420216504,0.819466734876954,0.0396679264411842,0.996270076660835,0.903562856296024,-0.00432144613719695,0.995242985107319
30,0.802563362796639,0.0355774676524153,0.994540941262659,0.0875987651311385,0.309797058622479,0.991236084654385,0.256954789033593,0.172687263137447,0.974688714097658
31,0.435207908930542,0.210416445623942,0.961314760564595,0.563775301299515,0.183431291939641,0.99327312253652,0.590097111664916,0.196923868781791,0.979146316396815
32,0.57694500037696,0.0941372881962164,0.976810136278258,0.690285965368387,-0.0755603265728919,0.993712648026315,0.764915428564488,0.00928848081166225,0.991523807643928
33,0.288196837755072,-0.215466362490244,0.941065895684351,0.0537739189363053,0.325739079123117,0.991236084654385,0.0800766580824448,0.0551363583164365,0.974688714097658
34,0.293286223792316,-0.188217391049308,0.941065895684351,0.771494182508975,0.0552320570919606,0.996270076660835,0.562511114012473,-0.0664926669786737,0.979146316396815
35,0.531036806510256,0.0870046142867309,0.975416700333257,0.566718780388919,-0.0745303385771772,0.99327312253652,0.662332349278104,0.00623713785477685,0.983243587039235
36,0.367634851461448,-0.285767931877425,0.95410785036033,0.85099622500926,-0.0722548718695031,0.99627995874774,0.676398356891482,-0.179011401873464,0.984704097248881
37,0.0870240120889599,-0.243670623167253,0.933048070137976,0.371554944786878,0.186347240142387,0.991405011263025,0.143293210693264,-0.028661691512433,0.974688714097658
38,0.613817496471888,-0.0827087347047158,0.979346441891781,0.0260261251072875,0.319464855012374,0.991236084654385,0.0820604698072815,0.118378060153829,0.974688714097658
40,0.23116716936261,0.233952987252536,0.93806672432868,0.305862657582828,-0.20135706863108,0.991236084654385,0.258020514915309,0.016297959310728,0.974688714097658
41,0.629424012488662,-0.14398108497629,0.979838729179579,0.898810848660266,-0.0403030069515707,0.99627995874774,0.88799328514049,-0.0921420459639304,0.995242985107319
42,0.170569457671386,0.245413856266265,0.933048070137976,0.409053580398329,0.155625562707181,0.99309461845979,0.255541645694693,0.200519709486723,0.974688714097658
43,0.470750579356067,-0.134538423898995,0.96651082500393,0.244109408638592,-0.17952163439895,0.991236084654385,0.363540024041894,-0.157030029148973,0.974688714097658
44,0.493470129941742,-0.12119844083303,0.971322125577446,0.357455795302295,-0.159278575569714,0.991236084654385,0.482443369875788,-0.140238508201372,0.975883278154192
45,0.0634560341804122,0.287311414792526,0.933048070137976,0.040265344484024,0.444046251501035,0.991236084654385,0.0178080633645642,0.365678833146781,0.974688714097658
46,0.26109430467426,-0.16065393309866,0.93806672432868,0.38064716660652,0.171744972609168,0.9923997305289,0.328840079536387,0.005545519755254,0.974688714097658
47,0.0163624348325682,-0.332595674508607,0.933048070137976,0.585278418169312,0.0829931530014239,0.99327312253652,0.0540926870946182,-0.124801260753592,0.974688714097658
48,0.869819524887618,0.025941693227298,0.995250240156931,0.528481802338703,0.11147631482928,0.99327312253652,0.816957588465204,0.068709004028289,0.993847760872682
49,0.722620689867847,-0.0542924378093416,0.987936420216504,0.679100731684867,0.0726495637408628,0.993712648026315,0.840063240981077,0.0091785629657606,0.994171377467749
50,0.905179837849016,-0.0162195733381835,0.996328493991424,0.911551569523238,-0.0178337448697375,0.99627995874774,0.983729522465688,-0.0170266591039605,0.999295252168702
51,0.469432722105858,0.181267628632886,0.96651082500393,0.863965353609671,-0.0423482009138946,0.99627995874774,0.771584685607934,0.0694597138594957,0.991692418685546
52,0.815094258421298,0.0421406820725506,0.994540941262659,0.769018905921838,-0.0746636773331869,0.996178193451805,0.919606379690706,-0.0162614976303182,0.996467514758476
53,0.440214301710229,-0.131786873797645,0.961502539605266,0.319586942065507,0.176912571491651,0.991236084654385,0.416604331630288,0.022562848847003,0.974688714097658
54,0.109971501602975,-0.34410957030882,0.933048070137976,0.366971719155477,0.209118058867615,0.991236084654385,0.169900756785963,-0.0674957557206025,0.974688714097658
55,0.586140830270038,-0.0956564836529465,0.977588121256473,0.0843098219547224,-0.298290540044258,0.991236084654385,0.198037979904802,-0.196973511848602,0.974688714097658
56,0.554827970466935,-0.103452293953908,0.97561922896555,0.189246753933716,-0.243939262935112,0.991236084654385,0.34164709812466,-0.17369577844451,0.974688714097658
57,0.0051607384355369,-0.531476196159348,0.933048070137976,0.456450557511876,0.16156850371517,0.99327312253652,0.0166093736553178,-0.184953846222089,0.974688714097658
58,0.284727607560151,-0.355377771872985,0.941065895684351,0.382011126239473,-0.289530141646019,0.992471466373738,0.350076424180146,-0.322453956759502,0.974688714097658
59,0.787799354587369,0.0462379166749186,0.993028909968357,0.179285586323807,-0.250258043999373,0.991236084654385,0.417690397268089,-0.102010063662227,0.974688714097658
