perturbation_id,target_gene
1716_CNOT1_P1P2_ENSG00000125107,CNOT1
1717_CNOT2_P1P2_ENSG00000111596,CNOT2
1718_CNOT3_P1P2_ENSG00000088038,CNOT3
1735_COA5_P1P2_ENSG00000183513,COA5
1737_COASY_P1P2_ENSG00000068120,COASY
1740_COG1_P1P2_ENSG00000166685,COG1
1741_COG2_P1P2_ENSG00000135775,COG2
1742_COG3_P1P2_ENSG00000136152,COG3
1743_COG4_P1P2_ENSG00000103051,COG4
1745_COG6_P1P2_ENSG00000133103,COG6
1747_COG8_P1P2_ENSG00000213380,COG8
1768_COMTD1_P1P2_ENSG00000165644,COMTD1
176_AFG3L2_P1P2_ENSG00000141385,AFG3L2
1770_COPA_P1P2_ENSG00000122218,COPA
1771_COPB1_P1P2_ENSG00000129083,COPB1
1772_COPB2_P1P2_ENSG00000184432,COPB2
1773_COPE_P1P2_ENSG00000105669,COPE
1774_COPG1_P1_ENSG00000181789,COPG1
1775_COPG1_P2_ENSG00000181789,COPG1
1778_COPS2_P1P2_ENSG00000166200,COPS2
1779_COPS3_P1P2_ENSG00000141030,COPS3
1780_COPS4_P1P2_ENSG00000138663,COPS4
1781_COPS5_P1P2_ENSG00000121022,COPS5
1782_COPS6_P1P2_ENSG00000168090,COPS6
1786_COPS8_P1P2_ENSG00000198612,COPS8
1787_COPZ1_P2_ENSG00000111481,COPZ1
1788_COPZ1_P1_ENSG00000111481,COPZ1
1791_COQ2_P1P2_ENSG00000173085,COQ2
1793_COQ4_P1P2_ENSG00000167113,COQ4
1794_COQ5_P1P2_ENSG00000110871,COQ5
1804_COTL1_P1P2_ENSG00000103187,COTL1
1805_COX10_P1P2_ENSG00000006695,COX10
1806_COX11_P1P2_ENSG00000166260,COX11
1808_COX15_P1P2_ENSG00000014919,COX15
1810_COX17_P1P2_ENSG00000138495,COX17
1815_COX5A_P1P2_ENSG00000178741,COX5A
1816_COX5B_P1P2_ENSG00000135940,COX5B
1819_COX6C_P1P2_ENSG00000164919,COX6C
1822_COX7B_P1P2_ENSG00000131174,COX7B
1823_COX7C_P1P2_ENSG00000127184,COX7C
1825_CPAMD8_ENST00000443236.1_ENSG00000160111,CPAMD8
1828_CPEB1_ENST00000568128.1_ENSG00000214575,CPEB1
182_AGBL5_P1_ENSG00000084693,AGBL5
1831_CPNE1_P1P2_ENSG00000214078,CPNE1
1834_CPNE7_P1P2_ENSG00000178773,CPNE7
1836_CPOX_P1P2_ENSG00000080819,CPOX
1839_CPSF1_P1P2_ENSG00000071894,CPSF1
1840_CPSF2_P1P2_ENSG00000165934,CPSF2
1841_INTS11_P1P2_ENSG00000127054,INTS11
1842_CPSF3_P1P2_ENSG00000119203,CPSF3
1843_CPSF4_P1P2_ENSG00000160917,CPSF4
1844_CPSF6_P1P2_ENSG00000111605,CPSF6
1856_CRCP_P1P2_ENSG00000241258,CRCP
1874_CRKL_P1P2_ENSG00000099942,CRKL
1877_CRLS1_P1P2_ENSG00000088766,CRLS1
1878_CRNKL1_P1P2_ENSG00000101343,CRNKL1
1892_CSDE1_P1P2_ENSG00000009307,CSDE1
1893_CSE1L_P1P2_ENSG00000124207,CSE1L
1894_CSH2_P1_ENSG00000213218,CSH2
1895_CSH2_P2_ENSG00000213218,CSH2
1898_CSNK1A1_P1P2_ENSG00000113712,CSNK1A1
1906_CSNK2B_P1P2_ENSG00000204435,CSNK2B
1915_CSTF1_P1P2_ENSG00000101138,CSTF1
1918_CSTF3_P1P2_ENSG00000176102,CSTF3
1919_CS_P1P2_ENSG00000062485,CS
1920_CT45A5_P1P2_ENSG00000228836,CT45A5
1924_CTBP2_P1P2_ENSG00000175029,CTBP2
1927_CTCF_P1P2_ENSG00000102974,CTCF
1929_CTDP1_P1P2_ENSG00000060069,CTDP1
1939_CTNNBL1_P1P2_ENSG00000132792,CTNNBL1
1941_CTPS1_P1P2_ENSG00000171793,CTPS1
1943_CTR9_P1P2_ENSG00000198730,CTR9
1957_CTU2_P1P2_ENSG00000174177,CTU2
1960_CUL1_P1P2_ENSG00000055130,CUL1
1961_CUL2_P1P2_ENSG00000108094,CUL2
1962_CUL3_P1P2_ENSG00000036257,CUL3
1966_CUL7_P1P2_ENSG00000044090,CUL7
1971_CWC15_P1P2_ENSG00000150316,CWC15
1972_CWC22_P1P2_ENSG00000163510,CWC22
1973_CWC25_P1P2_ENSG00000273559,CWC25
1976_CWF19L2_P1P2_ENSG00000152404,CWF19L2
1979_CXXC1_P1P2_ENSG00000154832,CXXC1
1999_CYC1_P1P2_ENSG00000179091,CYC1
2000_CYCS_P1P2_ENSG00000172115,CYCS
2001_CYFIP1_P1P2_ENSG00000273749,CYFIP1
2005_CYP2A13_P1P2_ENSG00000197838,CYP2A13
2008_CYP4F11_P1P2_ENSG00000171903,CYP4F11
2010_CYS1_P1P2_ENSG00000205795,CYS1
201_AHCTF1_P1P2_ENSG00000153207,AHCTF1
2020_DAD1_P1P2_ENSG00000129562,DAD1
2025_DAP3_P1P2_ENSG00000132676,DAP3
2030_DARS_P1P2_ENSG00000115866,DARS
2031_DAXX_P1_ENSG00000204209,DAXX
2036_DBF4_P1P2_ENSG00000006634,DBF4
2044_DBR1_P1P2_ENSG00000138231,DBR1
204_AHCY_P1P2_ENSG00000101444,AHCY
2058_DCAF6_P1P2_ENSG00000143164,DCAF6
2067_DCLRE1B_P1P2_ENSG00000118655,DCLRE1B
2073_DCTN1_P1P2_ENSG00000204843,DCTN1
2074_DCTN2_P1P2_ENSG00000175203,DCTN2
2075_DCTN3_P1P2_ENSG00000137100,DCTN3
2076_DCTN4_P1P2_ENSG00000132912,DCTN4
2077_DCTN5_P1P2_ENSG00000166847,DCTN5
2078_DCTN6_P1P2_ENSG00000104671,DCTN6
2083_DCUN1D5_P1P2_ENSG00000137692,DCUN1D5
2087_DDB1_P1_ENSG00000167986,DDB1
2088_DDB1_P2_ENSG00000167986,DDB1
2095_DDN_P1P2_ENSG00000181418,DDN
2096_DDOST_P1P2_ENSG00000244038,DDOST
20_ABCB10_P1P2_ENSG00000135776,ABCB10
