gene,n_appearances,appears_in
MRPL38,2,AMD-Macula_RPE1; Inflammation_RPE1
ZNF718,2,AMD-nonMacula_RPE1; Inflammation_RPE1
INTS8,2,Redox_RPE1; Redox_K562_GWPS
EIF3G,2,Age_RPE1; Inflammation_K562_GWPS
PRPF31,2,Age_RPE1; Redox_RPE1
CKAP5,2,Senescence_RPE1; Inflammation_RPE1
WDR83OS,2,Inflammation_RPE1; Age_K562_GWPS
KLC2,2,Senescence_RPE1; Inflammation_RPE1
CBFA2T3,2,AMD-Macula_RPE1; Senescence_RPE1
PLRG1,2,AMD-Macula_RPE1; AMD-nonMacula_RPE1
PRKRA,2,AMD-Macula_RPE1; Redox_RPE1
FBXO4,2,AMD-nonMacula_K562_GWPS; Senescence_K562_GWPS
INTS9,2,AMD-nonMacula_RPE1; Age_K562_GWPS
PPARGC1B,2,Inflammation_RPE1; Redox_K562_GWPS
MRPL9,2,AMD-Macula_RPE1; Senescence_RPE1
FBLIM1,2,Senescence_RPE1; Inflammation_RPE1
SRP19,2,AMD-nonMacula_RPE1; Redox_RPE1
CDK6,2,AMD-Macula_RPE1; Senescence_RPE1
MTHFD1,2,Age_RPE1; Inflammation_K562_GWPS
INTS5,2,Redox_RPE1; Redox_K562_GWPS
INTS3,2,Age_RPE1; Age_K562_GWPS
E2F6,2,AMD-Macula_RPE1; Senescence_RPE1
DDX23,2,AMD-Macula_RPE1; Redox_RPE1
COQ2,2,Senescence_RPE1; Inflammation_RPE1
WDR74,2,Senescence_RPE1; AMD-nonMacula_K562_GWPS
FGFR1OP,2,AMD-Macula_RPE1; Age_K562_GWPS
VPS41,2,Inflammation_RPE1; Age_K562_GWPS
INTS10,2,AMD-Macula_RPE1; Senescence_RPE1
PPP2R2A,2,AMD-Macula_K562_GWPS; Redox_K562_GWPS
THOC6,2,Senescence_RPE1; Redox_RPE1
ZNF230,2,Redox_K562_GWPS; Inflammation_K562_GWPS
SLC9B1,2,Senescence_RPE1; Inflammation_RPE1
PSMB5,2,AMD-nonMacula_RPE1; Redox_RPE1
