Perturbation,Gene_Target,Axis_Score
4941_MED19_P1P2_ENSG00000156603,MED19,0.06286024
4959_MED9_P1P2_ENSG00000141026,MED9,0.06282864
7510_RPS20_P1P2_ENSG00000008988,RPS20,0.0626438
2125_DDX49_P1P2_ENSG00000105671,DDX49,0.06182207
8741_TBP_P1P2_ENSG00000112592,TBP,0.061598312
5739_NOLC1_P1P2_ENSG00000166197,NOLC1,0.061500385
5146_MON1A_P1P2_ENSG00000164077,MON1A,0.061329
8866_TGIF2_P1P2_ENSG00000118707,TGIF2,0.06126873
5750_NOP58_P1P2_ENSG00000055044,NOP58,0.061097912
4868_MAU2_P1P2_ENSG00000129933,MAU2,0.060970567
9916_YAE1_P1P2_ENSG00000241127,YAE1,0.06087307
10312_ZNF358_P1_ENSG00000198816,ZNF358,0.060563587
4998_METTL21A_P1P2_ENSG00000144401,METTL21A,0.060347714
9073_TMEM41B_P1P2_ENSG00000166471,TMEM41B,0.060119037
5598_NELFA_P1P2_ENSG00000185049,NELFA,0.05946111
1284_CCDC59_P1P2_ENSG00000133773,CCDC59,0.059448067
6565_POLRMT_P1P2_ENSG00000099821,POLRMT,0.059048664
5420_N6AMT1_P1P2_ENSG00000156239,N6AMT1,0.058710758
4805_MAP2K7_P1P2_ENSG00000076984,MAP2K7,0.058441784
9331_TSC1_P1P2_ENSG00000165699,TSC1,0.05784773
7521_RPS29_P1_ENSG00000213741,RPS29,0.05752085
9629_ATP5MD_P1P2_ENSG00000173915,ATP5MD,0.05751266
10569_ZNF705B_ENST00000443676.1_ENSG00000215356,ZNF705B,0.057292305
7462_RPL35A_P1P2_ENSG00000182899,RPL35A,0.057271607
9618_URB2_P1P2_ENSG00000135763,URB2,0.057214692
3447_GNL3_P1P2_ENSG00000163938,GNL3,0.05708404
8652_TAF11_P1P2_ENSG00000064995,TAF11,0.056962743
4947_MED24_P1P2_ENSG00000008838,MED24,0.056883875
3485_GPALPP1_P1P2_ENSG00000133114,GPALPP1,0.0568097
5164_MPHOSPH6_P1P2_ENSG00000135698,MPHOSPH6,0.056749
789_BCCIP_P1P2_ENSG00000107949,BCCIP,0.056545705
3273_GALNT6_P1P2_ENSG00000139629,GALNT6,0.056530595
2983_FAU_P1P2_ENSG00000149806,FAU,0.05645808
7891_SHC1_P2_ENSG00000160691,SHC1,0.056453492
7581_RSU1_P1P2_ENSG00000148484,RSU1,0.056318015
2510_EGR1_P1_ENSG00000120738,EGR1,0.056252193
9453_TXNDC9_P1P2_ENSG00000115514,TXNDC9,0.056220792
10104_ZFR_P1P2_ENSG00000056097,ZFR,0.05613879
3605_GYG1_P1P2_ENSG00000163754,GYG1,0.055654477
8855_TFPT_P1P2_ENSG00000105619,TFPT,0.05542847
3594_GTPBP4_P1P2_ENSG00000107937,GTPBP4,0.055149667
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.055095185
6867_PSMD13_P1P2_ENSG00000185627,PSMD13,0.05504923
7142_RBBP6_P1P2_ENSG00000122257,RBBP6,0.054956425
3220_FUNDC2_P1P2_ENSG00000165775,FUNDC2,0.054377977
8462_SSX2IP_P1P2_ENSG00000117155,SSX2IP,0.054296352
4893_MCEE_P1P2_ENSG00000124370,MCEE,0.054232676
4953_MED30_P1P2_ENSG00000164758,MED30,0.05380253
9271_TRIM28_P1P2_ENSG00000130726,TRIM28,0.053570215
8587_SUMO1_P1P2_ENSG00000116030,SUMO1,0.05328244
5448_NAE1_P1P2_ENSG00000159593,NAE1,0.053076565
2977_FASTKD2_P1P2_ENSG00000118246,FASTKD2,0.052839845
7375_RNF20_P1P2_ENSG00000155827,RNF20,0.05268886
6577_POP7_P1P2_ENSG00000172336,POP7,0.05216198
3891_HOXA3_P2_ENSG00000105997,HOXA3,0.05165738
4037_IFI27L1_P1P2_ENSG00000165948,IFI27L1,0.051220935
3448_GNPAT_P1P2_ENSG00000116906,GNPAT,0.051076643
4488_L2HGDH_P1P2_ENSG00000087299,L2HGDH,0.05069691
9635_USP14_P1P2_ENSG00000101557,USP14,0.05068216
10567_ZNF704_P1P2_ENSG00000164684,ZNF704,0.050482836
4635_LPIN1_P1P2_ENSG00000134324,LPIN1,0.050293945
7198_RCC1_P1_ENSG00000180198,RCC1,0.050214086
1804_COTL1_P1P2_ENSG00000103187,COTL1,0.050165873
4939_MED17_P1P2_ENSG00000042429,MED17,0.049922634
2787_EXOSC10_P1P2_ENSG00000171824,EXOSC10,0.04985591
5821_NSA2_P1P2_ENSG00000164346,NSA2,0.049836066
2158_DEPDC5_P1P2_ENSG00000100150,DEPDC5,0.049702365
7565_RRP36_P1P2_ENSG00000124541,RRP36,0.049621794
7538_RPS8_P1P2_ENSG00000142937,RPS8,0.049596503
10331_ZNF396_P1P2_ENSG00000186496,ZNF396,0.049386963
7351_RNF144A_P1_ENSG00000151692,RNF144A,0.049289994
6948_PUM1_P1P2_ENSG00000134644,PUM1,0.04928895
2777_EXO5_P1P2_ENSG00000164002,EXO5,0.048945386
7943_SKIV2L_P1P2_ENSG00000204351,SKIV2L,0.048943922
9831_WDR5_P1P2_ENSG00000196363,WDR5,0.048870146
2577_EIF5B_P1P2_ENSG00000158417,EIF5B,0.04884188
1651_CLEC2L_P1P2_ENSG00000236279,CLEC2L,0.04855902
8651_TAF10_P1P2_ENSG00000166337,TAF10,0.048396945
5428_NAA30_P1P2_ENSG00000139977,NAA30,0.048380096
5725_NOA1_P1P2_ENSG00000084092,NOA1,0.048194133
2328_DOHH_P1P2_ENSG00000129932,DOHH,0.04799008
6720_PRDM10_P1P2_ENSG00000170325,PRDM10,0.047970183
3059_FERMT2_P1P2_ENSG00000073712,FERMT2,0.04791072
9469_TYW3_P1P2_ENSG00000162623,TYW3,0.047451064
7727_SDHC_P1P2_ENSG00000143252,SDHC,0.04743122
9132_TNFSF10_P1P2_ENSG00000121858,TNFSF10,0.04726111
2792_EXOSC5_P1P2_ENSG00000077348,EXOSC5,0.04715098
7456_RPL28_P1P2_ENSG00000108107,RPL28,0.047136404
5371_MYCL_P1P2_ENSG00000116990,MYCL,0.04713584
9652_USP36_P1P2_ENSG00000055483,USP36,0.04712026
3233_FYN_P1P2_ENSG00000010810,FYN,0.04674853
1331_CCNJ_P1P2_ENSG00000107443,CCNJ,0.04643335
4957_MED7_P1P2_ENSG00000155868,MED7,0.04625925
3446_GNL3L_P1P2_ENSG00000130119,GNL3L,0.046037015
2905_PRXL2A_P1_ENSG00000122378,PRXL2A,0.04601149
1702_CMTR2_P1P2_ENSG00000180917,CMTR2,0.04593962
3668_HDAC8_P1P2_ENSG00000147099,HDAC8,0.04581948
9923_YBX3_P1P2_ENSG00000060138,YBX3,0.045779206
7185_RBM8A_P1P2_ENSG00000265241,RBM8A,0.045461595
4215_IST1_P1P2_ENSG00000182149,IST1,0.045433182
1058_RAB5IF_P1P2_ENSG00000101084,RAB5IF,0.045212932
9992_ZBTB39_P1P2_ENSG00000166860,ZBTB39,0.044788387
7170_RBM33_P1P2_ENSG00000184863,RBM33,0.044768207
4274_KAT2A_P1P2_ENSG00000108773,KAT2A,0.044635445
3349_GFOD2_P1P2_ENSG00000141098,GFOD2,0.044502534
7275_RGS14_P2_ENSG00000169220,RGS14,0.044474166
7559_RRN3_P1P2_ENSG00000085721,RRN3,0.04426714
7564_RRP1_P1P2_ENSG00000160214,RRP1,0.044253394
8191_SMUG1_P1P2_ENSG00000123415,SMUG1,0.044208843
2966_FANCI_P1P2_ENSG00000140525,FANCI,0.04392224
2190_DHPS_P1P2_ENSG00000095059,DHPS,0.043834876
