perturbation,spearman_rho,gene_symbol,ensembl_id
7503_RPS15A_P1P2_ENSG00000134419,0.05385981659586166,RPS15A,ENSG00000134419
8425_SRRM2_P1P2_ENSG00000167978,0.05385390085143647,SRRM2,ENSG00000167978
6511_POGZ_P1P2_ENSG00000143442,0.05383139789918976,POGZ,ENSG00000143442
1409_CDC6_P1P2_ENSG00000094804,0.05382863946656934,CDC6,ENSG00000094804
2038_DBI_P2_ENSG00000155368,0.05380230091520916,DBI,ENSG00000155368
7566_RRP7A_P1P2_ENSG00000189306,0.05374853893818541,RRP7A,ENSG00000189306
3503_GPN2_P1P2_ENSG00000142751,0.05372735498498073,GPN2,ENSG00000142751
8043_SLC35B3_P1P2_ENSG00000124786,0.05368347923817635,SLC35B3,ENSG00000124786
1202_CASP2_P1P2_ENSG00000106144,0.0536492324734217,CASP2,ENSG00000106144
6882_PSMF1_P1P2_ENSG00000125818,0.05363198528434102,PSMF1,ENSG00000125818
5385_MYL12B_P1P2_ENSG00000118680,0.05363107865315142,MYL12B,ENSG00000118680
479_ARHGEF1_P2_ENSG00000076928,0.05362581229174619,ARHGEF1,ENSG00000076928
4423_KLF7_P1P2_ENSG00000118263,0.053622760962333385,KLF7,ENSG00000118263
8465_ST13_P1P2_ENSG00000100380,0.05361805919803454,ST13,ENSG00000100380
1258_CCDC138_P1P2_ENSG00000163006,0.05361796285040547,CCDC138,ENSG00000163006
4667_LRRC47_P2_ENSG00000130764,0.05356449473365039,LRRC47,ENSG00000130764
1632_CKS2_P1P2_ENSG00000123975,0.05355656146987237,CKS2,ENSG00000123975
2281_DNAJB1_P1P2_ENSG00000132002,0.05351761197734258,DNAJB1,ENSG00000132002
8496_STAT3_P1P2_ENSG00000168610,0.05351712398949193,STAT3,ENSG00000168610
3737_HIPK2_P1P2_ENSG00000064393,0.05347260414589657,HIPK2,ENSG00000064393
8441_SRXN1_P1P2_ENSG00000271303,0.05346126306647818,SRXN1,ENSG00000271303
5748_NOP2_P1P2_ENSG00000111641,0.05344150698513638,NOP2,ENSG00000111641
5510_NCOA6_P1P2_ENSG00000198646,0.05343941142420401,NCOA6,ENSG00000198646
1946_CTSC_P1P2_ENSG00000109861,0.05342702208258127,CTSC,ENSG00000109861
10591_ZNF721_P2_ENSG00000182903,0.05314209323911831,ZNF721,ENSG00000182903
5283_MSH6_P1P2_ENSG00000116062,0.05313933191606902,MSH6,ENSG00000116062
9205_TPM3_P1P2_ENSG00000143549,0.053120279172419474,TPM3,ENSG00000143549
7087_RALGDS_P1_ENSG00000160271,0.053089866079825715,RALGDS,ENSG00000160271
9411_TUBA4A_P1P2_ENSG00000127824,0.05307320661128239,TUBA4A,ENSG00000127824
1871_CREM_ENST00000395895.2_ENSG00000095794,0.05303495852949227,CREM,ENSG00000095794
5319_MTHFD2_P1_ENSG00000065911,0.052998727967054966,MTHFD2,ENSG00000065911
9445_TXLNA_P1P2_ENSG00000084652,0.05298581931171152,TXLNA,ENSG00000084652
1030_C1GALT1C1_P1P2_ENSG00000171155,0.052868339757151724,C1GALT1C1,ENSG00000171155
481_ARHGEF2_P1P2_ENSG00000116584,0.05286086318113552,ARHGEF2,ENSG00000116584
7464_RPL36AL_P1P2_ENSG00000165502,0.0528376829050564,RPL36AL,ENSG00000165502
8452_SSH2_P1P2_ENSG00000141298,0.05282668289624493,SSH2,ENSG00000141298
8331_SPC24_P1P2_ENSG00000161888,0.052717118299413626,SPC24,ENSG00000161888
476_ARHGEF12_P1P2_ENSG00000196914,0.05263968372260546,ARHGEF12,ENSG00000196914
4390_KIF2A_P1P2_ENSG00000068796,0.052616910984318074,KIF2A,ENSG00000068796
9049_TMEM230_P1P2_ENSG00000089063,0.0526064929151862,TMEM230,ENSG00000089063
2751_ETFA_P1P2_ENSG00000140374,0.052604935937500354,ETFA,ENSG00000140374
7022_RAB30_P1P2_ENSG00000137502,0.052571200778656096,RAB30,ENSG00000137502
6544_POLR2D_P1_ENSG00000144231,0.05253680563855268,POLR2D,ENSG00000144231
6454_PLK3_P1P2_ENSG00000173846,0.0524425882555567,PLK3,ENSG00000173846
7942_MTREX_P1P2_ENSG00000039123,0.05244207375921744,MTREX,ENSG00000039123
6844_PSMA4_P1P2_ENSG00000041357,0.0524330392420391,PSMA4,ENSG00000041357
5438_NABP2_P2_ENSG00000139579,0.05241368685726313,NABP2,ENSG00000139579
