ID_REF,gene_symbol,logfc_amd_vs_ctrl,pvalue
588,588,-0.03890010435634572,0.3861470182849015
603,603,0.09424101181295086,0.15658528330338795
604,604,0.2744650065357517,0.055978286338245004
605,605,-0.04756645654608338,0.3967346433168829
606,606,0.2176723843239614,0.42678015396714986
607,607,-0.057645365638570034,0.44553775989789546
608,608,-0.03549074330793367,0.523802065116952
610,610,-0.0579392078947194,0.37470840258837357
611,611,0.017907537023931885,0.7270175141403241
612,612,0.06836694935972343,0.3934783227613904
613,613,-0.07381833720811137,0.32385170862396173
615,615,-0.07814517421940481,0.1648832604499547
616,616,0.11398498915176702,0.4365651458982168
617,617,0.09096110186700024,0.21708017212492547
619,619,0.13599576137000824,0.04630090485674351
620,620,-0.13685761293152865,0.01421864696479352
621,621,-0.03504413796308392,0.4980408657608847
622,622,0.030304830707049923,0.6645087117883484
623,623,-0.08903213755037864,0.11984852667157564
624,624,-0.05099092193766275,0.22093904579973264
625,625,-0.2612602869573748,0.013236657750137569
626,626,0.042496630457880435,0.5882733203257549
627,627,-0.05319124173674439,0.34916488503069043
628,628,0.01978415292934521,0.7536458488301576
629,629,-0.06206592069115491,0.22106584307005442
631,631,-0.07109943220232351,0.20144191407237763
632,632,-0.06167373525108033,0.20696737616245622
633,633,-0.10077560245499573,0.16741750942799577
634,634,0.26060597188287016,0.01851270594279388
635,635,0.028160835941834605,0.8149603534198759
636,636,0.015141541442865059,0.7631914766871786
637,637,0.2062042331880658,0.18597802516182624
638,638,-0.15902501159740012,0.12614937534826
639,639,-0.138668814747839,0.38146038515101766
640,640,-0.05740993746750256,0.2546497568805722
641,641,-0.05805980114286058,0.30263781481954716
642,642,-0.06611611134864881,0.2182334702412288
643,643,0.3750935540415652,0.07227265174593624
644,644,-0.052780995956982046,0.547547219187104
645,645,0.09369181425733508,0.046066154877729415
646,646,0.14282974168530949,0.045462083960272424
647,647,-0.004626789028190359,0.9463760803999495
648,648,-0.057672794790242676,0.28012605112523115
649,649,-0.0827320325243186,0.12354146458168923
650,650,-0.22087333450216784,0.024995592630506082
651,651,-0.06196131976701302,0.322944060993004
652,652,-0.1578871752924349,0.2638217283834738
653,653,0.03295203589976503,0.5503076726310336
654,654,-0.13880408952631296,0.022084611628336373
655,655,0.13892738549504502,0.05032849292563883
656,656,-0.022165955319061403,0.6682384567801638
657,657,-0.0017447592976918003,0.9777915210737528
658,658,-0.07684109112683668,0.14495367550494148
659,659,0.0009607961714344082,0.9859294127253087
660,660,0.07266329115371284,0.12359344607909911
661,661,0.016793696479726172,0.7882633540316776
662,662,-0.04336148919610028,0.3919078470197175
663,663,0.029900136469822147,0.6629520592474321
